Datetime,Central Interior,Coastal,Georgia Strait,Lower Fraser Valley,Northeast,Southern Interior
2022-01-09 10:00:00,5.847652500000001,3.0,3.805053,2.549111,4.4736315,6.795735
2022-01-09 11:00:00,5.1802345,3.0,7.9542125,2.833139,4.23459,6.517486
2022-01-09 12:00:00,5.710888499999999,3.5,4.5,2.598083,4.4793745000000005,6.391208
2022-01-09 13:00:00,5.4000685,2.0,4.2406205,2.93,4.4022635,5.667333
2022-01-09 14:00:00,6.150790000000001,4.0,1.742376,2.6255,4.7512775000000005,4.518942
2022-01-09 15:00:00,7.783291500000001,4.5,4.0038415,2.742056,4.7483125,4.978167
2022-01-09 16:00:00,8.70594,3.5,3.6471584999999997,3.822194,5.123486,4.498875
2022-01-09 17:00:00,12.3324465,4.5,3.674539,4.258072,4.478277,11.08764
2022-01-09 18:00:00,11.7512915,5.49861,4.4800325,7.259056,4.4853749999999994,9.282609
2022-01-09 19:00:00,12.495652,6.0,7.5,7.058333,4.642847,10.81672
2022-01-09 20:00:00,12.444055500000001,6.5,11.5,5.667972,4.846236,22.38204
2022-01-09 21:00:00,15.0964305,2.673106,11.0,5.105055,5.6023265,10.65244
2022-01-09 22:00:00,13.572472,2.5266215,12.0,4.891861,5.4439720000000005,14.89882
2022-01-09 23:00:00,10.161833,5.0,7.0,3.788528,5.8501665,13.98834
2022-01-10 00:00:00,12.6805555,5.0,6.0,2.893139,4.938124500000001,17.03732
2022-01-10 01:00:00,11.4311595,3.002778,7.0,2.470588,5.1227730000000005,12.50719
2022-01-10 02:00:00,12.6270965,1.49577295,9.175215,1.978333,5.1115695,8.952383
2022-01-10 03:00:00,15.082457999999999,2.5550275,8.9542125,2.202861,5.514639,6.522097
2022-01-10 04:00:00,11.5665555,2.550822,6.7564095,1.826667,5.8128709999999995,8.655258
2022-01-10 05:00:00,6.388597,4.0,5.5006105000000005,2.022056,5.695266,6.569707
2022-01-10 06:00:00,5.7540555,4.0,6.2118765,1.655,6.035404,5.727283
2022-01-10 07:00:00,4.1535969999999995,3.124188177418786,4.975705,1.751667,6.538408,4.409622
2022-01-10 08:00:00,4.369473,1.8617291,4.0394165,2.214833,5.6223635000000005,5.568998
2022-01-10 09:00:00,7.7952925,3.37665665,8.050493,3.063366,4.112897,4.312435
2022-01-10 10:00:00,7.5881105,2.5,8.5,3.013083,5.1726735,6.388597
2022-01-10 11:00:00,9.1860275,3.0006945,6.5,3.022819,4.588958,10.2409
2022-01-10 12:00:00,7.811292,4.0,5.244972412354715,3.436278,5.5449655,8.299123
2022-01-10 13:00:00,5.897125,4.5,5.0,4.031861,5.437695,6.737195
2022-01-10 14:00:00,4.6090135,5.0,3.9651825,4.270056,6.6334915,4.924345
2022-01-10 15:00:00,4.100583,8.9993055,4.6459095,4.006278,6.3305905,5.973245
2022-01-10 16:00:00,6.797289,7.501389,7.0,3.930583,5.9988055,8.127264
2022-01-10 17:00:00,4.5530965000000005,5.5,6.7448105,3.418242,5.746889,7.151381
2022-01-10 18:00:00,5.436208000000001,5.0,6.62271,3.962722,6.8906845,7.608429
2022-01-10 19:00:00,7.919819,7.5,9.4201885,5.488945,6.466729,7.201707
2022-01-10 20:00:00,10.30091,5.3250795,7.751256,4.781055,4.938784500000001,6.676026
2022-01-10 21:00:00,9.77325,1.798625,5.53966,3.679194,5.415604,3.950762
2022-01-10 22:00:00,12.90733,3.0,4.6465895,3.949833,5.230173000000001,4.800304
2022-01-10 23:00:00,10.74014,2.0,5.754129,4.067489,3.3914835,4.970109
2022-01-11 00:00:00,9.63668,2.5,5.0374695,3.729821,2.2402914999999997,4.733429
2022-01-11 01:00:00,9.950355,2.361575,7.0057415,4.016474,2.012561,4.198152
2022-01-11 02:00:00,11.27057,2.5,3.553943,3.616243218708453,2.7554545,4.665568
2022-01-11 03:00:00,7.9188185,2.502778,4.634668368019281,3.3757202576069654,2.3332214999999996,3.689429
2022-01-11 04:00:00,5.0434025,3.0,3.162449,2.6386450340145338,2.269173,3.351277
2022-01-11 05:00:00,3.3361665,2.0,2.0,2.8905,3.7899095,3.229985
2022-01-11 06:00:00,4.597125,3.0646832,1.2316185,3.324556,3.6262215,2.919444
2022-01-11 07:00:00,3.198451,1.83599765,1.815251,3.298028,5.4421175,2.640887
2022-01-11 08:00:00,4.373428,2.5,2.621207,3.362556,6.5592115,3.101084
2022-01-11 09:00:00,5.333705999999999,2.5611414999999997,5.402267,3.423928,7.6414995,3.973233
2022-01-11 10:00:00,7.759722,5.0,6.5,4.012431,10.139835,3.56438
2022-01-11 11:00:00,8.440035,4.0,5.37119,3.231889,6.7877425,3.7595
2022-01-11 12:00:00,5.2676445,2.0,4.0,4.834889,3.7907835,5.375467
2022-01-11 13:00:00,5.605624499999999,2.5,6.7997465,5.423278,2.7345550000000003,4.543345
2022-01-11 14:00:00,6.7881385,2.5,4.892692,5.594972,3.149632,4.473282
2022-01-11 15:00:00,4.909347,0.2283627,2.8907705,4.901028,3.355155,5.907773
2022-01-11 16:00:00,6.764527,2.5,3.163554,3.665833,4.8583704999999995,6.283737
2022-01-11 17:00:00,6.3024165,3.0,4.8239405,2.940817,3.0681789999999998,5.255043
2022-01-11 18:00:00,4.344291,2.5,2.5760175,3.573639,3.3236535,5.388546
2022-01-11 19:00:00,9.1233325,2.0,5.4982695,3.335167,3.6840975,5.348289
2022-01-11 20:00:00,14.333325,1.1583565,5.1575085000000005,3.391806,4.439095276376419,6.955794
2022-01-11 21:00:00,15.971395000000001,1.808976,5.320485,3.550528,2.6228465,4.142361
2022-01-11 22:00:00,10.1301085,2.9770912,5.341167,2.861611,3.0229025,3.639333
2022-01-11 23:00:00,11.165035,2.5,2.4916305000000003,2.669861,2.549534,4.146055
2022-01-12 00:00:00,9.548275,4.0520285000000005,3.8553725,2.586639,2.984312,4.857204
2022-01-12 01:00:00,10.668315,3.851971,3.282139,2.198235,2.2586625,4.322994
2022-01-12 02:00:00,6.8725825,4.5,3.1166210000000003,2.220083,1.9316209999999998,3.634429
